대표감정,세부감정,대화,text,rep_emotion
분노,불만,좀 더 열정적으로 참여해 주셨으면 좋겠어요.,,
분노,불만,왜 항상 제가 이런 불편한 역할을 도맡아야 하죠?,,
분노,불만,이 규칙은 저에게 너무나 불합리하게 느껴집니다.,,
분노,불만,제 노력에 비해 너무나 초라한 결과에 불만이에요.,,
분노,억울,저를 믿어주지 않는다는 게 너무 억울하고 속상해요.,,
분노,억울,진실은 제가 말하는 건데 왜 아무도 들어주지 않나요? 억울해요.,,
분노,억울,제가 왜 이런 불이익을 당해야 하죠? 너무 억울해서 잠이 안 와요.,,
분노,억울,이건 정말 아닌 것 같아요 너무 부당하고 억울합니다.,,
분노,억울,제발 저의 말을 좀 끝까지 들어주세요 너무 억울해요.,,
분노,억울,모든 것이 저의 잘못으로만 돌아오니 정말 억울해서 숨을 쉴 수가 없어요.,,
분노,억울,저는 최선을 다했는데 이런 결과라니 정말 억울해요.,,
분노,억울,왜 항상 제가 이런 상황에 처해야 하나요? 너무 억울해요.,,
분노,억울,저를 믿어달라고 말할 수밖에 없는 현실이 억울해요.,,
분노,억울,아무리 생각해봐도 저는 억울해요. 정말 이대로는 안 돼요.,,
분노,억울,제가 겪은 일들을 다 말해주고 싶은데 들어줄 사람이 없어서 억울해요.,,
분노,억울,저를 완전히 바보로 만들고 있잖아요 너무 억울합니다.,,
분노,억울,이런 식으로 제가 무시당하는 게 정말 억울해요.,,
분노,억울,저는 단지 진실을 말하고 싶을 뿐인데 왜 이렇게 막혀야 하나요? 억울해요.,,
분노,억울,제가 뭘 그렇게 잘못했다고 이런 대가를 치러야 하죠? 억울해요.,,
분노,억울,이건 정말 제 의도가 아니었어요. 너무 억울해요.,,
분노,억울,제가 참고 있는 게 아니라 정말 억울해서 아무 말도 못 하겠어요.,,
분노,억울,저를 이런 함정에 빠뜨린 게 너무 억울해요.,,
분노,억울,왜 모든 책임이 저에게만 지워지나요? 정말 억울해요.,,
분노,억울,제 마음을 알아주는 사람이 아무도 없는 것 같아서 억울해요.,,
분노,억울,당신이 한 일 때문에 제가 이렇게 욕을 먹어야 하다니 억울합니다.,,
분노,억울,제발 저를 이런 식으로 단정 짓지 마세요. 억울해요.,,
분노,억울,저는 그렇게 할 리가 없는데 다들 저를 의심하니 억울해요.,,
분노,억울,이 상황이 너무 답답해서 가슴이 터질 것 같아요. 억울해요.,,
분노,억울,왜 저만 이런 불운을 겪어야 하는 거죠? 정말 억울합니다.,,
분노,억울,제가 얼마나 이 문제를 해결하려고 노력했는지 아세요? 억울해요.,,
분노,억울,저를 이런 비참한 상황으로 몰아넣다니 너무 억울해요.,,
분노,억울,당신의 오해 때문에 제가 너무 큰 피해를 봤어요. 억울해요.,,
분노,억울,제발 저의 결백을 믿어주세요. 너무 억울합니다.,,
분노,억울,저는 그런 말을 한 적이 없는데 왜 그렇게 전해졌죠? 억울해요.,,
분노,억울,모든 상황이 저에게만 불리하게 돌아가니 정말 억울해요.,,
분노,억울,제가 이렇게까지 불이익을 당해야 한다니 너무 분통이 터져요.,,
분노,억울,저를 완전히 모르는 사람처럼 대하는 게 억울해요.,,
분노,억울,저는 당신의 그런 부당한 처사를 용납할 수 없어요. 너무 억울해요.,,
분노,억울,제 명예를 더럽히는 행동에 정말 억울하고 슬퍼요.,,
분노,억울,제가 정말 그랬다고 생각하는 거예요? 너무 억울해요.,,
분노,억울,저는 당신의 편견 때문에 희생양이 되고 있어요. 억울해요.,,
분노,억울,아무도 저의 진심을 알아주지 않으니 정말 억울해요.,,
분노,억울,왜 저만 이런 억지 주장을 들어야 하죠? 억울합니다.,,
분노,억울,제가 참고 또 참아왔는데 결국 이렇게 되니 억울해요.,,
분노,억울,제발 제가 한 행동이 오해의 소지가 없었다는 걸 믿어주세요. 억울해요.,,
분노,억울,이 모든 것이 저의 의도와는 달랐는데 설명할 길이 없네요. 억울해요.,,
분노,억울,당신의 잘못 때문에 제가 이런 수모를 당해야 하다니 억울합니다.,,
분노,억울,저를 이런 상황에 놓이게 한 세상이 너무나도 억울해요.,,
분노,억울,저는 결백해요. 왜 제 말을 믿어주지 않나요? 억울해요.,,
분노,억울,제가 이렇게까지 비난받아야 할 이유가 없어요. 너무 억울해요.,,
분노,억울,아무도 저의 편을 들어주지 않으니 더욱 억울하고 외로워요.,,
분노,억울,제가 하지도 않은 일 때문에 사과해야 한다니 억울합니다.,,
분노,억울,저의 모든 노력이 물거품이 된 것 같아서 억울해요.,,
분노,억울,당신은 저를 믿어주기는커녕 의심만 하고 있네요. 억울해요.,,
분노,억울,이 모든 것이 마치 짜여진 각본 같아요. 너무 억울해요.,,
분노,억울,저는 단지 진실을 밝히고 싶을 뿐이에요. 왜 이렇게 힘들게 하죠? 억울해요.,,
분노,억울,제발 제가 무고하다는 것을 알아주세요. 너무 억울합니다.,,
분노,억울,저는 당신의 판단이 틀렸다고 생각해요. 너무 억울해요.,,
분노,억울,제발 저의 이야기에 귀 기울여 주세요. 억울해서 죽겠어요.,,
분노,억울,당신의 실수 때문에 제가 이런 오해를 받아야 하다니 억울합니다.,,
분노,억울,제가 뭘 어쨌다고 당신이 저를 이렇게 미워해요? 억울해요.,,
분노,억울,저를 이런 불합리한 상황에 방치하는 게 너무 억울해요.,,
분노,억울,저는 당신의 오만함 때문에 피해를 보고 있어요. 억울해요.,,
분노,억울,제발 저를 이런 식으로 대하지 마세요. 너무 억울합니다.,,
분노,억울,제가 이런 일을 당해야 하는 게 너무 서러워요. 억울해요.,,
분노,억울,당신은 제가 겪은 고통을 전혀 모르는군요. 억울해요.,,
분노,억울,저는 당신의 잘못된 판단에 희생되고 있습니다. 억울해요.,,
분노,억울,제 모든 것이 당신의 한 마디 때문에 부정당했어요. 억울합니다.,,
분노,억울,저를 이런 나락으로 떨어뜨린 게 너무 억울해요.,,
분노,억울,왜 제 말을 아무도 믿어주지 않는 거죠? 정말 억울해요.,,
분노,억울,제가 그렇게 하도록 유도된 상황인데 저만 비난받네요. 억울해요.,,
분노,억울,당신은 제가 가진 모든 것을 짓밟고 있어요. 너무 억울해요.,,
분노,억울,제발 저의 결백을 세상에 알려주세요. 억울합니다.,,
분노,억울,저는 정말 당신에게 이런 말을 들을 만한 짓을 하지 않았어요. 억울해요.,,
분노,억울,당신의 편견 때문에 제가 얼마나 힘든지 아세요? 억울해요.,,
분노,억울,이 모든 것이 제 운명이라고 받아들일 수가 없어요. 너무 억울해요.,,
분노,억울,제가 이렇게까지 불이익을 당해야 하다니 정말이지 비참합니다.,,
분노,억울,저를 적으로 만들고 있는 당신이 너무 억울해요.,,
분노,억울,왜 제가 이런 고통을 혼자 감내해야 하죠? 억울해요.,,
분노,억울,저는 당신의 무책임함 때문에 이런 상황에 처했어요. 억울해요.,,
분노,억울,제발 저의 억울함을 풀어주세요.,,
분노,억울,당신은 제가 이런 대접을 받는 것이 정당하다고 생각하나요? 억울해요.,,
분노,억울,제가 이렇게까지 눈치를 봐야 하는 게 너무 억울해요.,,
분노,억울,저는 당신의 일방적인 판단에 희생되고 있어요. 억울해요.,,
분노,억울,제 모든 노력이 이렇게 무의미해진다는 게 억울합니다.,,
분노,억울,저를 이런 궁지에 몰아넣은 게 너무 억울해요.,,
분노,억울,당신의 거짓말이 저를 이렇게 만들었어요. 너무 억울해요.,,
분노,억울,왜 제 말은 항상 오해되는 거죠? 정말 억울해요.,,
분노,억울,제가 그렇게 할 리가 없잖아요! 너무 억울해요.,,
분노,억울,저는 당신의 편견 때문에 이런 비난을 받아야 하다니 억울해요.,,
분노,억울,제발 저에게 최소한의 기회라도 주세요. 너무 억울합니다.,,
분노,억울,당신의 태도 때문에 제가 이렇게까지 망가지는 것 같아요. 억울해요.,,
분노,억울,제가 뭘 그리 잘못했기에 이런 처벌을 받아야 하죠? 억울해요.,,
분노,억울,저를 완전히 거짓말쟁이로 만들고 있잖아요 너무 억울해요.,,
분노,억울,당신이 한 말 때문에 제가 이렇게 피해를 보고 있어요. 억울합니다.,,
분노,억울,이 모든 것이 꿈이었으면 좋겠어요. 너무 억울해요.,,
분노,억울,제발 제게 이러지 마세요. 저는 정말 억울해요.,,
분노,억울,제가 이렇게까지 불행해야 하는 게 너무 억울해요.,,
분노,억울,왜 저의 진심을 알아주지 않죠? 너무 억울해요.,,
분노,억울,저는 당신의 비난에 반박할 기회조차 얻지 못했어요. 억울합니다.,,
분노,억울,제가 아무리 노력해도 소용없다는 게 너무 억울해요.,,
분노,억울,당신의 오해가 저의 인생을 망치고 있어요. 억울합니다.,,
분노,억울,제발 저에게 이런 고통을 주지 마세요. 너무 억울해요.,,
분노,억울,제가 그렇게 하려고 한 게 아니었는데 상황이 그렇게 되어버렸어요. 억울해요.,,
분노,억울,모든 사람들이 저를 비난하는 것 같아서 억울해요.,,
분노,억울,저는 당신의 잘못 때문에 모든 것을 잃었어요. 억울해요.,,
분노,억울,제발 제가 아무 죄가 없다는 것을 알아주세요. 억울해요.,,
분노,억울,왜 저만 이런 불공정한 대우를 받아야 하죠? 억울해요.,,
분노,질투,당신이 걔를 칭찬하는 소리만 들어도 온몸의 피가 역류하는 것 같아요.,,
분노,질투,걔가 가진 옷들을 보니 왜 이렇게 질투가 날까요?,,
분노,질투,왜 쟤는 항상 나보다 좋은 환경에서 살고 있는 거죠?,,
분노,질투,저 사람의 평온한 얼굴이 너무 질투 나서 깨부수고 싶네요.,,
분노,질투,내가 갖지 못한 것들을 너무 쉽게 얻는 것 같아서 질투 나요.,,
분노,질투,당신이 걔한테 보내는 그 눈빛이 너무 질투 나요.,,
분노,질투,왜 항상 나만 부족한 것 같지? 저 사람의 완벽함이 질투 납니다.,,
분노,질투,걔의 여유로운 태도를 보니 내가 얼마나 치열하게 사는지 비교돼요.,,
분노,질투,내가 저 사람보다 더 노력했는데도 인정받지 못하니 질투가 납니다.,,
분노,질투,너의 새로운 차를 보니 나도 모르게 배가 아파요.,,
분노,질투,저들의 화기애애한 분위기를 보니 내가 너무 외로운 것 같아서 질투 나요.,,
분노,질투,왜 나는 항상 조연이고 쟤는 늘 주인공인 걸까? 질투 나요.,,
분노,질투,당신이 걔한테 주는 사소한 선물조차 질투가 납니다.,,
분노,질투,걔가 뭘 해도 사랑받는다는 사실이 나를 너무 질투하게 만들어요.,,
분노,질투,저 사람의 인기가 너무 많아서 내가 끼어들 틈이 없네요. 질투 나요.,,
분노,질투,내가 노력한 시간이 다 헛된 것 같아서 걔가 너무 질투 나요.,,
분노,질투,너의 그 빛나는 자신감이 너무 부러워서 질투 나요.,,
분노,질투,왜 항상 좋은 기회는 저 사람에게만 돌아가는 거죠? 질투 납니다.,,
분노,질투,당신이 걔와 함께 보내는 시간 자체가 너무 질투 나요.,,
분노,질투,저들의 완벽한 궁합을 보니 내가 너무나 초라해져요.,,
분노,질투,걔가 나보다 더 멋진 연애를 하고 있다는 사실이 질투 나 죽겠어요.,,
분노,질투,왜 쟤는 실수해도 다들 귀엽게 봐주는 거죠? 나는 안 그러면서. 질투 나요.,,
분노,질투,저 사람의 넓은 어깨에 기대는 너의 모습이 너무 질투 나요.,,
분노,질투,내가 더 유능한데도 저 사람이 더 높이 올라가는 게 질투 나요.,,
분노,질투,당신이 걔를 걱정하는 목소리가 나에게는 칼날 같아요.,,
분노,질투,걔가 새로운 취미를 즐기는 모습만 봐도 내가 얼마나 게으른지 비교돼요. 질투 나요.,,
분노,질투,저들의 끊이지 않는 여행 사진을 보니 너무 질투 나네요.,,
분노,질투,왜 나는 항상 다른 사람의 배경만 되어주는 걸까? 질투 나요.,,
분노,질투,너의 그 해맑은 성격이 나를 너무나 작게 만드네.,,
분노,질투,그 사람이 가진 모든 것이 나에게는 넘을 수 없는 벽 같아서 질투 나요.,,
분노,질투,당신이 걔를 자랑스러워하는 모습이 너무 질투 나요.,,
분노,질투,걔가 나에게 보인 사소한 관심조차도 이제 질투 나네요.,,
분노,질투,저 사람의 성공이 나에게는 왜 이렇게 고통스러울까요?,,
분노,질투,내가 걔만큼만 됐다면 얼마나 좋았을까? 질투 납니다.,,
분노,질투,당신이 걔에게만 솔직한 이야기를 하는 것 같아서 질투 나요.,,
분노,질투,걔의 타고난 재능이 나를 너무나 무력하게 만들어. 질투 나요.,,
분노,질투,저 멋진 커리어를 내가 갖지 못하는 것이 너무 질투 나네요.,,
분노,질투,왜 나는 항상 걔한테 뒤쳐지는 걸까? 질투 나 죽겠어요.,,
분노,질투,너의 행복한 표정을 보니 내가 너무나 불행하게 느껴져요.,,
분노,질투,그 사람이 가진 모든 기회가 나에게는 없는 것 같아서 질투 나요.,,
분노,질투,당신이 걔를 존경하는 눈빛이 너무 질투 나요.,,
분노,질투,걔가 뭘 해도 돋보이는 건 참을 수 없는 질투예요.,,
분노,질투,왜 저 사람은 항상 주변에 사람이 끊이지 않는 거죠? 질투 나 죽겠어요.,,
분노,질투,내가 더 많이 사랑하는데도 당신은 걔한테만 마음이 가 있는 것 같아서 질투 나요.,,
분노,질투,저 사람의 타고난 부유함이 나를 너무나 질투하게 만드네요.,,
분노,질투,나의 평범한 삶이 저 사람의 화려한 삶과 비교되니 질투 납니다.,,
분노,질투,당신이 걔와만 공유하는 비밀이 있는 것 같아서 질투 나요.,,
분노,질투,걔가 새로운 프로젝트를 맡았다는 소식에 왜 내가 기쁘지 않을까요? 질투 나요.,,
분노,질투,저 사람의 여유로운 표정이 나를 얼마나 힘들게 하는지 모를 거예요.,,
분노,질투,내가 아무리 노력해도 걔만큼은 안 되는 것 같아서 내 자신이 너무 질투 나요.,,
분노,질투,당신이 걔를 칭찬하는 소리에 내 가슴이 무너지는 것 같아요.,,
분노,질투,걔가 새로 산 옷을 보니 괜히 질투가 나네요.,,
분노,질투,왜 쟤는 모든 일에 막힘없이 잘 풀리는 거죠? 부러움을 넘어 질투가 나요.,,
분노,질투,저 사람의 밝은 미소를 보니 내가 가진 어둠이 더 짙어지는 것 같아.,,
분노,질투,내가 갖고 싶었던 그 명품 가방이 걔 손에 들려 있으니 너무 질투 나요.,,
분노,질투,당신이 다른 사람의 이야기를 더 흥미롭게 듣는 것 같아서 질투 나요.,,
분노,질투,왜 항상 나만 실패하고 저 사람은 성공하는 거죠? 질투 납니다.,,
분노,질투,걔의 완벽한 몸매가 나를 질투하게 만드네요.,,
분노,질투,내가 더 사랑하는데 왜 나만 이렇게 불안해야 할까? 질투 나요.,,
분노,질투,저 커플의 끈끈한 사랑을 보니 내 관계가 초라해 보여요.,,
분노,질투,나는 왜 저 사람처럼 되지 못할까? 질투 나서 슬퍼요.,,
분노,질투,걔가 받은 칭찬에 내가 왜 이렇게 배가 아플까요?,,
분노,질투,당신이 걔를 향한 눈빛이 너무 질투 나요.,,
분노,질투,저 사람의 재치 있는 말솜씨를 보니 내가 너무나 부족하게 느껴져요.,,
분노,질투,내가 가진 모든 것을 던져서 쟤처럼 되고 싶다는 생각마저 들어요.,,
분노,질투,걔의 타고난 머리가 너무 질투 나 죽겠어요.,,
분노,질투,저 사람이 가진 재능은 노력으로도 안 되는 것이라서 더 질투 나요.,,
분노,질투,왜 나는 저 사람처럼 태어나지 못했을까? 질투 납니다.,,
분노,질투,당신이 걔와 함께 있을 때 더 행복해 보이는 것 같아서 질투 나요.,,
분노,질투,걔가 나보다 더 사랑받는다는 사실이 나를 미치게 할 것 같아요.,,
분노,질투,저들의 즐거운 모습이 나에게는 질투로만 다가와요.,,
분노,질투,내가 저 사람보다 못한 게 없는데 왜 나는 이럴까? 질투 나 죽겠어요.,,
분노,질투,당신이 걔한테 보여주는 애정 표현이 나를 질투의 화신으로 만들어요.,,
분노,질투,걔가 나에게만 보인 관심이 혹시 거짓은 아닐까? 질투가 나서 의심돼요.,,
분노,질투,저 사람의 모든 것이 나에게는 너무 완벽해서 질투가 납니다.,,
분노,질투,나는 왜 저 사람만큼 여유가 없을까? 질투 나요.,,
분노,질투,당신이 걔를 만나러 갈 때마다 내 마음이 무너져요.,,
분노,질투,걔가 새로운 직장에 합격했다는 소식을 들으니 속이 뒤틀려요.,,
분노,질투,저 사람의 행복이 나의 불행처럼 느껴져서 질투 납니다.,,
분노,질투,내가 저 사람보다 더 유능한데 왜 기회가 안 올까요? 질투 나요.,,
분노,질투,당신이 걔를 아끼는 모습이 너무 질투 나요.,,
분노,질투,걔가 뭘 해도 사람들이 좋아해 주는 게 너무 질투 나요.,,
분노,질투,왜 쟤는 뭘 해도 노력 이상의 결과를 얻는 거죠? 질투 나 죽겠어요.,,
분노,질투,저 사람의 화려한 인맥을 보니 내가 가진 게 아무것도 없는 것 같아.,,
분노,질투,내가 저 사람의 인기를 빼앗아 오고 싶다는 생각마저 들어요. 질투 나요.,,
분노,질투,당신이 걔를 바라보는 그 따뜻한 시선이 너무 질투 나요.,,
분노,질투,걔가 나에게 보인 친절이 어쩌면 비웃음이었을까? 질투가 나네요.,,
분노,질투,저 사람의 웃음소리만 들어도 내가 왜 이렇게 비참해질까요?,,
분노,질투,내가 걔만큼만 예뻤다면 세상이 달라졌을 텐데. 질투 나요.,,
분노,질투,당신이 걔의 말을 더 잘 믿는 것 같아서 질투 납니다.,,
분노,질투,왜 나는 항상 저 사람의 뒷모습만 보며 따라가야 할까? 질투 나요.,,
분노,질투,그 사람의 완벽한 라이프스타일이 나를 질투하게 만드네요.,,
분노,질투,너의 그 빛나는 모습이 나를 더욱 초라하게 만들어.,,
분노,질투,왜 쟤는 항상 사람들 사이에서 돋보이는 거죠? 질투 나 죽겠어요.,,
분노,질투,저 사람의 타고난 재능이 너무 질투 나서 인정하고 싶지 않아요.,,
분노,질투,내가 이룬 작은 성공조차도 그 사람 앞에서는 보잘것없어 보여요. 질투 납니다.,,
분노,질투,당신이 걔와 나를 비교하는 것 같아서 질투 나요.,,
분노,질투,걔가 나보다 더 많은 것을 누리는 게 너무나 불공평해요. 질투 나요.,,
분노,질투,저 사람의 행복은 내가 갖지 못한 것이라서 더 질투 나요.,,
분노,질투,내가 아무리 노력해도 걔만큼의 운은 없는 것 같아서 질투 나요.,,
분노,질투,당신이 걔의 편을 드는 것 같아서 질투가 나서 미칠 것 같아요.,,
분노,질투,걔가 하는 모든 일에 왜 이렇게 질투가 날까요?,,
분노,질투,왜 쟤는 항상 나보다 더 많은 것을 가질까? 질투 나요.,,
분노,질투,저 사람의 타고난 외모를 보니 내가 너무나 초라하게 느껴져요.,,
분노,질투,내가 갖지 못한 능력 때문에 걔가 너무 질투 나요.,,
분노,질투,당신이 걔를 자랑스러워하는 모습이 너무 질투 나요.,,
분노,질투,왜 항상 나만 뒤쳐지고 저 사람은 앞서갈까? 질투 납니다.,,
분노,참을 수 없음,당신의 존재 자체가 나에게 참을 수 없는 고통이에요.,,
분노,참을 수 없음,저는 당신의 그 역겨운 행동을 더 이상 볼 수 없습니다.,,
분노,참을 수 없음,제발 저에게 강요하지 마세요 더 이상 참지 않을 거예요.,,
분노,참을 수 없음,당신의 무관심이 나를 더 이상 참을 수 없게 만들어요.,,
분노,참을 수 없음,나는 이런 허울 좋은 제안을 더 이상 참지 않을 겁니다.,,
분노,참을 수 없음,매번 내가 뒤처리해야 하는 이 모든 상황은 참을 수 없어요.,,
분노,참을 수 없음,이제는 단 한 번도 더 이상 당신에게 기회를 주지 않을 겁니다.,,
분노,참을 수 없음,제발 저를 이런 시험대에 세우지 마세요 더 이상 못 참겠어요.,,
분노,참을 수 없음,당신의 불성실한 태도는 참을 수 없는 불쾌감입니다.,,
분노,참을 수 없음,이 지겨운 반복은 더 이상 참을 수 없어요.,,
분노,참을 수 없음,저는 이런 거짓된 평화를 더 이상 참아줄 수 없어요.,,
분노,참을 수 없음,당신의 위선적인 말들은 더 이상 참을 수 없습니다.,,
분노,참을 수 없음,저의 마음은 이미 굳어졌어요 더 이상 참지 않을 겁니다.,,
분노,참을 수 없음,제발 저를 무능력하게 만들지 마세요 참을 수 없으니까.,,
분노,참을 수 없음,당신의 무례함은 참을 수 없는 모욕입니다.,,
분노,참을 수 없음,이 끝없는 요구는 더 이상 참을 수 없어요.,,
분노,참을 수 없음,나는 이런 굴욕적인 대우를 더 이상 받아들일 수 없습니다.,,
분노,참을 수 없음,저의 모든 인내심이 완전히 바닥났어요 더 이상 참지 않을 겁니다.,,
분노,참을 수 없음,아 진짜! 이제 더 이상 한마디도 듣기 싫어요!,,
분노,참을 수 없음,제 속이 다 타들어 갈 것 같아요 참을 수가 없어요.,,
분노,참을 수 없음,이대로라면 제가 먼저 미쳐버릴 거예요 더는 못 참아요.,,
분노,참을 수 없음,당신의 행동은 정말이지 인내심의 한계를 초월했습니다.,,
분노,참을 수 없음,왜 저에게만 이런 불합리한 요구를 하는 거죠? 도저히 못 참겠어요.,,
분노,참을 수 없음,이건 명백한 부당함인데 아무도 그걸 못 보나요? 참을 수 없어요.,,
분노,참을 수 없음,제발 제가 참고 있다는 걸 이용해서 이렇지 마세요.,,
분노,참을 수 없음,저를 이런식으로 농락하는 건 참을 수 없습니다.,,
분노,참을 수 없음,당신의 뻔뻔함은 더 이상 참아줄 수가 없어요.,,
분노,참을 수 없음,매번 제가 이런 짐을 져야 하는 건 참을 수 없는 모욕이에요.,,
분노,참을 수 없음,저는 더 이상 당신의 그릇된 판단을 감수하지 않을 겁니다.,,
분노,참을 수 없음,이 끝없는 싸움에 대한 나의 인내심이 모두 소진되었어요.,,
분노,참을 수 없음,당신의 무책임한 책임 전가 정말 참을 수 없어요.,,
분노,참을 수 없음,저는 이런 편파적인 시선을 더 이상 받아들일 수 없습니다.,,
분노,참을 수 없음,제발 저의 희망을 짓밟지 마세요 더 이상 못 참아요.,,
분노,참을 수 없음,당신의 그 교활한 술수는 참을 수 없는 비열함이에요.,,
분노,참을 수 없음,이 끔찍한 침묵은 더 이상 참을 수 없어요.,,
분노,참을 수 없음,저는 이런 거짓된 미소를 더 이상 지을 수 없습니다.,,
분노,참을 수 없음,저의 마음속에는 이미 폭풍이 휘몰아치고 있어요 더 이상 참을 수 없어요.,,
분노,참을 수 없음,제발 저를 비참하게 만들지 마세요 더 이상 못 참아요.,,
분노,참을 수 없음,당신의 그 이기적인 마음은 참을 수 없는 혐오감이에요.,,
분노,참을 수 없음,이 모든 상황이 저를 지치게 하는 건 참을 수 없어요.,,
분노,참을 수 없음,저는 이런 의미 없는 희생을 더 이상 하지 않을 겁니다.,,
분노,참을 수 없음,매번 당신의 기분까지 맞춰줘야 하는 건 참을 수 없어요.,,
분노,참을 수 없음,더 이상 제가 당신의 뒷감당을 하지 않을 겁니다.,,
분노,참을 수 없음,제발 저를 이런 식으로 길들이려 하지 마세요 참을 수 없어요.,,
분노,참을 수 없음,당신의 그 편협한 시각은 참을 수 없는 오만함이에요.,,
분노,참을 수 없음,이 끝없는 의심에 대한 나의 인내심이 바닥났어요.,,
분노,참을 수 없음,저는 이런 무례한 태도를 더 이상 용납할 수 없습니다.,,
분노,참을 수 없음,저의 모든 감각이 분노로 가득 찼어요 더 이상 참을 수 없어요.,,
분노,참을 수 없음,당신의 말 한마디 한마디가 나를 폭발하게 만들어요 더는 못 참겠어요.,,
분노,참을 수 없음,이건 개인적인 공격이에요 더 이상 참을 수 없습니다.,,
분노,참을 수 없음,당신의 침묵은 나에게 참을 수 없는 모욕입니다.,,
분노,참을 수 없음,나는 이런 냉랭한 분위기를 더 이상 견딜 수 없어요.,,
분노,참을 수 없음,제발 더 이상 저를 건드리지 마세요 지금 정말 참을 수 없으니까.,,
분노,참을 수 없음,당신의 무능력함이 모든 것을 망치고 있는 건 참을 수 없어요.,,
분노,참을 수 없음,이 불확실한 미래를 더 이상 받아들일 수 없습니다.,,
분노,참을 수 없음,저는 이런 부당한 희생을 더 이상 감수하지 않을 겁니다.,,
분노,참을 수 없음,매번 제가 혼자서 모든 것을 감당해야 하는 건 참을 수 없어요.,,
분노,참을 수 없음,더 이상 당신의 눈치를 보지 않을 겁니다 참을 수 없으니까.,,
분노,참을 수 없음,제발 저를 이런 억압적인 틀에 가두려 하지 마세요 더 이상 못 참아요.,,
분노,참을 수 없음,당신의 그 가식적인 친절은 참을 수 없는 위선이에요.,,
분노,참을 수 없음,이 끝없는 소모적인 대화는 더 이상 참을 수 없어요.,,
분노,참을 수 없음,저는 당신의 비겁한 책략을 더 이상 지켜볼 수 없습니다.,,
분노,참을 수 없음,저의 인내심은 이미 바닥을 드러냈어요 더 이상 참을 수 없어요.,,
분노,참을 수 없음,제발 제가 당신을 미워하기 전에 그만두세요 더는 못 참아요.,,
분노,참을 수 없음,당신의 오만한 독선은 참을 수 없는 권위주의예요.,,
분노,참을 수 없음,이 혼란스러운 상황은 더 이상 참을 수 없어요.,,
분노,참을 수 없음,저는 이런 비참한 현실을 더 이상 외면하지 않을 겁니다.,,
분노,참을 수 없음,저의 마음은 이미 모든 것을 포기했어요 더 이상 참을 수 없어요.,,
분노,참을 수 없음,더 이상은 무리예요 저는 이제 더 이상 못 참겠어요.,,
분노,참을 수 없음,당신의 경솔한 발언은 참을 수 없는 실례입니다.,,
분노,참을 수 없음,제가 이런 식으로 취급받는 건 참을 수 없습니다.,,
분노,참을 수 없음,이 반복되는 지적은 더 이상 참아줄 수가 없어요.,,
분노,참을 수 없음,당신의 끊임없는 요구는 참을 수 없는 부담이에요.,,
분노,참을 수 없음,제발 저를 이런 쓸데없는 일에 끌어들이지 마세요 참을 수 없어요.,,
분노,참을 수 없음,당신의 불명확한 지시는 참을 수 없는 무책임이에요.,,
분노,참을 수 없음,저는 이런 허울 좋은 명분은 더 이상 참지 않을 겁니다.,,
분노,참을 수 없음,매번 제가 모든 것을 정리해야 하는 건 참을 수 없어요.,,
분노,참을 수 없음,더 이상 당신에게 감정적으로 휘둘리지 않을 겁니다 참을 수 없으니까.,,
분노,참을 수 없음,제발 저를 이런 비교의 대상에 두지 마세요 더 이상 못 참아요.,,
분노,참을 수 없음,당신의 편향된 판단은 참을 수 없는 불공정함이에요.,,
분노,참을 수 없음,이 불필요한 절차는 더 이상 참을 수 없어요.,,
분노,참을 수 없음,저는 당신의 불합리한 강요를 더 이상 참아줄 수 없어요.,,
분노,참을 수 없음,저의 모든 감각이 마비될 정도로 분노가 치솟아요 더 이상 참을 수 없어요.,,
분노,참을 수 없음,제발 제가 이성을 잃기 전에 그만두세요 더는 못 참아요.,,
분노,참을 수 없음,당신의 그 비웃는 표정은 참을 수 없는 모욕이에요.,,
분노,참을 수 없음,이 끈질긴 문제에 대한 나의 인내심이 바닥났어요 더 이상 참을 수 없어요.,,
분노,참을 수 없음,저는 이런 비겁한 행동을 더 이상 용납할 수 없습니다.,,
분노,참을 수 없음,저의 마음은 이미 무너졌어요 더 이상 참을 수 없어요.,,
분노,참을 수 없음,더 이상 당신의 말을 믿을 수 없어요 참을 수 없네요.,,
분노,참을 수 없음,당신의 안일한 대응은 참을 수 없는 무능력이에요.,,
분노,참을 수 없음,이 모든 것이 저를 지치게 만드는 건 참을 수 없어요.,,
분노,참을 수 없음,저는 당신의 위선적인 태도를 더 이상 참지 않을 겁니다.,,
분노,참을 수 없음,매번 제가 모든 것을 해결해야 하는 건 참을 수 없어요.,,
분노,참을 수 없음,더 이상 당신에게 시간을 낭비하지 않을 겁니다 참을 수 없으니까.,,
분노,참을 수 없음,제발 저를 이런 불행한 상황에 가두지 마세요 더 이상 못 참아요.,,
분노,참을 수 없음,당신의 그 비판적인 시선은 참을 수 없는 불쾌감이에요.,,
분노,참을 수 없음,이 끔찍한 기억은 더 이상 참을 수 없어요.,,
분노,참을 수 없음,저는 당신의 냉담한 태도를 더 이상 참아줄 수 없어요.,,
분노,참을 수 없음,저의 인내심은 이미 바닥을 드러냈어요 더 이상 참을 수 없어요.,,
분노,참을 수 없음,제발 제가 당신을 증오하게 만들기 전에 그만두세요 더는 못 참아요.,,
분노,참을 수 없음,당신의 오만한 독선은 참을 수 없는 폭력이에요.,,
