슬픔,공허,요즘은 모든 게 다 무미건조해  
슬픔,공허,기분이 공허해서 울지도 못하겠어  
슬픔,공허,사람들 말이 전혀 와닿지 않아  
슬픔,공허,내가 사라진 것 같은 느낌이 들어  
슬픔,공허,그냥 아무 생각 없이 하루를 흘려보냈어  
슬픔,공허,마음이 비어서 울 수도 없어  
슬픔,공허,시간이 흘러도 아무 감정이 생기지 않아  
슬픔,공허,그냥 멈춰버린 기분이야  
슬픔,공허,다른 사람들은 다 바쁜데 나만 멈춘 것 같아  
슬픔,공허,내 안이 텅 빈 채로 돌아다니는 기분이야  
슬픔,공허,그냥 아무 생각 없이 숨만 쉬고 있어  
슬픔,공허,마음속이 너무 비어서 무섭다  
슬픔,공허,공허하다는 말밖에 할 수가 없어  
슬픔,공허,하루가 길고 아무 의미도 없어  
슬픔,공허,사람들이 다 멀게 느껴져서 외로워  
슬픔,공허,그냥 아무 감정 없이 하루를 보냈어  
슬픔,공허,요즘은 아무 자극도 느껴지지 않아  
슬픔,공허,모든 게 흐릿하게 멀어지고 있어  
슬픔,공허,그냥 살아 있는 게 낯설어  
슬픔,공허,마음이 너무 공허해서 아무 말도 하기 싫어  
슬픔,공허,그냥 공허한 기분이 계속 이어져  
슬픔,공허,아무 일도 없는데도 지쳐  
슬픔,공허,무언가 잃어버린 것 같은데 기억이 안 나  
슬픔,공허,그냥 아무 일도 없이 하루가 끝났어  
슬픔,공허,내 안이 텅 비어서 바람이 부는 것 같아  
슬픔,공허,이유 없이 허전하고 공허해  
슬픔,공허,요즘은 웃을 힘도 없어  
슬픔,공허,그냥 아무 감정이 안 들어  
슬픔,공허,모든 게 멈춘 것 같은 기분이야  
슬픔,공허,사람들 목소리가 멀게 들려서 외로워  
슬픔,공허,아무리 노력해도 공허함이 채워지지 않아  
슬픔,공허,그냥 하루가 비어 있는 것 같아  
슬픔,공허,마음이 너무 비어서 아무것도 하고 싶지 않아  
슬픔,공허,그냥 숨 쉬는 것도 버거워  
슬픔,공허,요즘은 아무 감정이 생기지 않아  
슬픔,공허,공허함이 점점 커져서 무서워  
슬픔,공허,그냥 아무 일도 없이 하루가 흘러가  
슬픔,공허,마음이 비어서 울지도 못하겠어  
슬픔,공허,아무리 생각해도 아무 감정이 없어  
슬픔,공허,그냥 아무 이유 없이 허전한 하루야  
슬픔,공허,모든 게 멈춰버린 듯한 기분이 들어

슬픔,좌절,열심히 했는데 결과가 이래서 너무 허무해  
슬픔,좌절,노력했는데도 안 되는 게 있구나 싶었어  
슬픔,좌절,기대했던 만큼 아파서 괜히 했나 싶다  
슬픔,좌절,이번에도 실패해서 자신감이 완전히 떨어졌어  
슬픔,좌절,뭔가 잘될 줄 알았는데 또 망했어  
슬픔,좌절,매번 비슷한 자리에서 무너지는 것 같아  
슬픔,좌절,열심히 했는데 아무도 알아주지 않아  
슬픔,좌절,기대가 클수록 실망도 커지는 것 같아  
슬픔,좌절,진짜 열심히 했는데 결과가 엉망이야  
슬픔,좌절,다시 시작할 힘조차 안 나  
슬픔,좌절,모든 게 내 잘못인 것 같아  
슬픔,좌절,아무리 노력해도 안 되는 건 안 되나 봐  
슬픔,좌절,다시 일어설 자신이 없어  
슬픔,좌절,이번에도 실패라니 믿기지가 않아  
슬픔,좌절,내가 그렇게 부족한 사람이었나 싶어  
슬픔,좌절,어디서부터 잘못된 건지 모르겠어  
슬픔,좌절,이젠 뭘 해도 의미가 없어 보여  
슬픔,좌절,다시 해보려 해도 마음이 따라주지 않아  
슬픔,좌절,또 같은 실수를 반복했어  
슬픔,좌절,기대했던 일이 수포로 돌아갔어  
슬픔,좌절,내가 한 게 다 헛수고 같아  
슬픔,좌절,다른 사람들은 다 잘하는데 나만 제자리야  
슬픔,좌절,그동안 노력했던 게 다 무너진 기분이야  
슬픔,좌절,내가 이렇게까지 무력할 줄 몰랐어  
슬픔,좌절,다시 시도할 용기가 안 생겨  
슬픔,좌절,정말 열심히 했는데 결과는 냉정했어  
슬픔,좌절,이제는 뭘 믿어야 할지도 모르겠어  
슬픔,좌절,조금만 더 하면 될 줄 알았는데 아니었어  
슬픔,좌절,그렇게 노력했는데 아무것도 남지 않았어  
슬픔,좌절,나만 계속 도태되는 느낌이야  
슬픔,좌절,끝없이 추락하는 기분이야  
슬픔,좌절,다시 시작하려고 해도 자신이 없어  
슬픔,좌절,결국 나만 실패한 것 같아  
슬픔,좌절,꿈꾸던 게 무너지는 소리가 들리는 것 같아  
슬픔,좌절,다른 사람들은 다 행복해 보이는데 나만 아니야  
슬픔,좌절,이제는 기대조차 하기 싫어  
슬픔,좌절,하나도 제대로 되는 게 없어  
슬픔,좌절,내가 한 게 다 틀렸던 걸까  
슬픔,좌절,모든 게 내 탓 같아서 숨이 막혀  
슬픔,좌절,처음부터 다시 해야 한다는 게 너무 힘들어  
슬픔,좌절,이 정도면 됐다고 생각했는데 아니었어  
슬픔,좌절,열심히 해도 세상은 날 봐주지 않네  
슬픔,좌절,마음속에 쌓였던 희망이 다 사라진 것 같아  
슬픔,좌절,결국 아무것도 이룬 게 없다는 생각이 들어  
슬픔,좌절,하루하루가 버거워서 포기하고 싶어  
슬픔,좌절,뭘 해도 결과가 안 나오니까 허탈해  
슬픔,좌절,이렇게 노력해도 달라지는 게 없어  
슬픔,좌절,나한테는 기회조차 안 오는 것 같아  
슬픔,좌절,할 만큼 했는데 이제는 힘이 빠져  
슬픔,좌절,이 길이 맞는 건지도 모르겠어  
슬픔,좌절,다시 일어서야 하는데 너무 지쳤어  
슬픔,좌절,이젠 뭘 해도 자신이 없어  
슬픔,좌절,하루가 끝날 때마다 허무함만 남아  
슬픔,좌절,내가 괜히 욕심을 부린 걸까  
슬픔,좌절,뭘 잘못한 걸까 하는 생각만 들어  
슬픔,좌절,다시 해도 결과는 똑같을 것 같아  
슬픔,좌절,그동안의 노력이 아무 의미가 없었어  
슬픔,좌절,이젠 다시 시작할 용기가 안 나  
슬픔,좌절,내가 너무 무능하게 느껴져  
슬픔,좌절,다른 사람처럼 되고 싶었는데 안 되더라  
슬픔,좌절,그냥 다 내려놓고 싶어졌어  
슬픔,좌절,모든 게 한순간에 무너진 기분이야  
슬픔,좌절,내가 할 수 있는 게 하나도 없는 것 같아  
슬픔,좌절,지금의 나는 그저 실패자 같아  
슬픔,좌절,이젠 기대하지도 않아  
슬픔,좌절,다시 시도할 용기가 안 생겨  
슬픔,좌절,아무리 발버둥 쳐도 바뀌는 게 없어  
슬픔,좌절,결국 또 나 혼자 남았어  
슬픔,좌절,나 자신이 너무 한심하게 느껴져  
슬픔,좌절,무너진 마음을 추스르기가 힘들어  
슬픔,좌절,이번엔 다를 줄 알았는데 똑같았어  
슬픔,좌절,이제는 아무 기대도 하지 않아  
슬픔,좌절,이 상황이 너무 답답하고 괴로워  
슬픔,좌절,어디서부터 다시 시작해야 할지 모르겠어  
슬픔,좌절,계속 반복되는 실패가 무서워  
슬픔,좌절,희망이 점점 사라지는 느낌이야  
슬픔,좌절,결국 아무 일도 해내지 못했어  
슬픔,좌절,내가 해온 노력들이 다 헛된 것 같아  
슬픔,좌절,처음엔 가능할 줄 알았는데 아니었어  
슬픔,좌절,이제는 아무 의욕도 나지 않아  
슬픔,좌절,내가 한 게 다 틀렸다고 느껴져  
슬픔,좌절,그냥 포기하는 게 편할 것 같아  
슬픔,좌절,모든 게 무너져 내린 기분이야  
슬픔,좌절,결국엔 나만 뒤처진 느낌이야  
슬픔,좌절,열심히 했는데 돌아오는 건 실망뿐이야  
슬픔,좌절,내가 생각했던 미래는 없었어  
슬픔,좌절,하루하루가 실패의 반복이야  
슬픔,좌절,이젠 아무것도 기대하지 않아  
슬픔,좌절,다시 일어서기엔 너무 많은 걸 잃었어  
슬픔,좌절,그냥 다 끝난 것 같아  
슬픔,좌절,이젠 마음이 완전히 무너져버렸어  
슬픔,좌절,더 이상 어떻게 해야 할지 모르겠어  
슬픔,좌절,모든 게 내 잘못인 것 같아  
슬픔,좌절,나한테 기회는 더 이상 없는 것 같아  
슬픔,좌절,내가 이렇게 약한 사람인 줄 몰랐어  
슬픔,좌절,이젠 뭘 해도 무의미하게 느껴져  
슬픔,좌절,처음부터 다시 하라고 하면 못할 것 같아  
슬픔,좌절,다시 일어나려 했는데 무릎이 꺾였어  
슬픔,좌절,아무도 내 노력을 알아주지 않아  
슬픔,좌절,결국 나는 아무것도 이뤄내지 못했어

슬픔,고독,요즘은 혼자 있는 시간이 너무 길어  
슬픔,고독,아무리 사람들 속에 있어도 외롭더라  
슬픔,고독,내 말에 대답해주는 사람이 없을 때 공허해  
슬픔,고독,누군가와 있어도 마음은 혼자야  
슬픔,고독,조용한 방 안에 나 혼자 있는 게 익숙해졌어  
슬픔,고독,사람들은 다 바쁘고 나만 멈춰 있는 기분이야  
슬픔,고독,대화 없이 하루가 끝나는 게 요즘은 당연해졌어  
슬픔,고독,내가 사라져도 모를 것 같다는 생각이 들어  
슬픔,고독,사람들 사이에서도 마음이 고립된 기분이야  
슬픔,고독,아무도 내 이야기를 들어주지 않아  
슬픔,고독,누군가와 눈을 마주치고 싶을 때가 많아  
슬픔,고독,요즘은 말보다 침묵이 더 익숙해졌어  
슬픔,고독,내가 아무한테도 필요한 존재가 아닌 것 같아  
슬픔,고독,사람들 웃는 소리가 멀게 느껴져  
슬픔,고독,혼자 밥 먹는 게 이젠 아무렇지도 않아  
슬픔,고독,나 혼자 남겨진 것 같은 기분이야  
슬픔,고독,사람들과 대화해도 마음은 닫혀 있어  
슬픔,고독,이 세상에서 혼자인 것 같아  
슬픔,고독,누군가 내 이름을 불러줬으면 좋겠어  
슬픔,고독,요즘은 사람보다 벽이 더 익숙해  
슬픔,고독,내가 외롭다는 말을 해도 아무도 몰라줘  
슬픔,고독,사람들 목소리가 멀게만 들려  
슬픔,고독,그냥 혼자 있는 게 편하면서도 슬퍼  
슬픔,고독,요즘은 대화보단 침묵이 편해졌어  
슬픔,고독,혼자 있는 게 익숙해졌는데도 외로워  
슬픔,고독,사람들 사이에서도 외롭다는 게 제일 힘들어  
슬픔,고독,아무리 웃어도 마음은 싸늘해  
슬픔,고독,내가 점점 투명해지는 기분이야  
슬픔,고독,사람들 속에 섞여도 존재감이 없어  
슬픔,고독,요즘은 내 목소리조차 낯설어  
슬픔,고독,내 얘기를 들어줄 사람이 한 명도 없어  
슬픔,고독,혼자 있는 시간에 너무 익숙해져버렸어  
슬픔,고독,사람들이 다 나를 지나쳐가는 느낌이야  
슬픔,고독,누군가 내 옆에 있었으면 좋겠어 아무 말 없이  
슬픔,고독,대화 없이 하루가 끝나는 게 이렇게 공허할 줄 몰랐어  
슬픔,고독,요즘은 내 존재가 희미하게 느껴져  
슬픔,고독,혼자 걷는 길이 점점 익숙해지고 있어  
슬픔,고독,누가 나 좀 안아줬으면 좋겠어  
슬픔,고독,사람들과 있어도 나만 다른 공간에 있는 것 같아  
슬픔,고독,요즘은 내 그림자만 내 옆에 있는 기분이야  
슬픔,고독,그냥 누군가 나한테 말 한마디만 해줬으면 좋겠어  
슬픔,고독,사람들이 다 떠나고 나만 남은 느낌이야  
슬픔,고독,혼자 있는 방이 이렇게 넓게 느껴질 줄 몰랐어  
슬픔,고독,요즘은 아무도 나를 부르지 않아  
슬픔,고독,사람들 목소리가 그리워  
슬픔,고독,조용한 밤이 너무 길게 느껴져  
슬픔,고독,누가 내 하루를 물어봐줬으면 좋겠어  
슬픔,고독,아무리 바빠도 외로움은 사라지지 않아  
슬픔,고독,사람들 틈에 있어도 고립된 느낌이야  
슬픔,고독,그냥 존재 자체가 공기처럼 느껴져  
슬픔,고독,요즘은 눈 마주치는 게 어색해  
슬픔,고독,아무도 날 찾지 않는다는 게 서글퍼  
슬픔,고독,그냥 내 얘기를 들어주는 사람 하나 있으면 좋겠어  
슬픔,고독,내가 사라져도 아무 일 없을 것 같아  
슬픔,고독,사람들이 다 멀어졌다는 느낌이야  
슬픔,고독,요즘은 웃는 사람들 보는 게 더 외로워  
슬픔,고독,누군가 내 옆에 있으면 좋겠는데 그게 어려워  
슬픔,고독,혼자 있는 게 이렇게 무겁게 느껴질 줄 몰랐어  
슬픔,고독,아무리 떠들어도 내 안은 조용해  
슬픔,고독,사람들 소리 대신 내 숨소리만 들려  
슬픔,고독,그냥 누가 내 존재를 알아줬으면 좋겠어  
슬픔,고독,요즘은 대화가 너무 낯설어졌어  
슬픔,고독,사람들한테 둘러싸여도 혼자라는 기분이 들어  
슬픔,고독,그냥 존재감 없이 떠도는 느낌이야  
슬픔,고독,아무도 내 눈을 제대로 마주치지 않아  
슬픔,고독,요즘은 말보다 침묵이 더 익숙해졌어  
슬픔,고독,내가 외로워한다고 말해도 공감받지 못해  
슬픔,고독,사람들이랑 같이 있어도 대화가 공허해  
슬픔,고독,그냥 나 혼자만 멈춰 있는 것 같아  
슬픔,고독,요즘은 사람보다 고요함이 더 편해  
슬픔,고독,아무도 내 안부를 묻지 않아  
슬픔,고독,사람 목소리가 그리운데 들을 수가 없어  
슬픔,고독,그냥 대화 한 줄이 이렇게 간절할 줄 몰랐어  
슬픔,고독,요즘은 나 자신조차 낯설어  
슬픔,고독,혼자 있는 게 무섭기도 하고 편하기도 해  
슬픔,고독,사람들이 다 나를 스쳐 지나가는 느낌이야  
슬픔,고독,누군가와 연결되어 있다는 느낌이 사라졌어  
슬픔,고독,그냥 아무도 없는 공간이 편해지면서도 슬퍼  
슬픔,고독,요즘은 외롭다는 말조차 하기 싫어  
슬픔,고독,사람들이 나를 기억하지 않을까 봐 두려워  
슬픔,고독,그냥 혼자 있는 게 내 일상이 돼버렸어  
슬픔,고독,조용한 공간에 내 숨소리만 울려  
슬픔,고독,사람들 웃음소리가 멀게만 느껴져  
슬픔,고독,그냥 누가 옆에 앉아만 있어줬으면 좋겠어  
슬픔,고독,요즘은 눈을 마주치는 것도 힘들어  
슬픔,고독,혼자라는 게 이렇게 아픈 줄 몰랐어  
슬픔,고독,사람들 사이에 섞이지 못하고 겉도는 기분이야  
슬픔,고독,그냥 나만 다른 세상에 있는 것 같아  
슬픔,고독,요즘은 내 목소리가 내 귀에도 낯설어  
슬픔,고독,아무도 나를 불러주지 않아서 더 외로워  
슬픔,고독,사람들과 대화해도 마음이 텅 비어 있어  
슬픔,고독,그냥 조용한 방 안에서 혼자 시간을 보내  
슬픔,고독,누군가 나를 진심으로 바라봐줬으면 좋겠어  
슬픔,고독,요즘은 침묵이 제일 익숙한 친구 같아  
슬픔,고독,사람들 속에서도 혼자라는 사실이 더 선명해져  
슬픔,고독,내가 살아 있는 건지 잘 모르겠어  
슬픔,고독,그냥 아무도 없는 세상이 편할 때가 있어  
슬픔,고독,요즘은 대화가 두렵고 고요함이 익숙해  
슬픔,고독,사람들 웃는 얼굴을 보면 괜히 눈물이 나  
슬픔,고독,그냥 아무 말 없이 옆에 누가 있었으면 좋겠어

슬픔,자기혐오,내가 왜 이렇게 한심한지 모르겠어  
슬픔,자기혐오,거울 보면 내가 너무 싫어  
슬픔,자기혐오,다른 사람은 다 괜찮은데 나만 문제야  
슬픔,자기혐오,실수할 때마다 스스로가 미워  
슬픔,자기혐오,아무리 노력해도 부족한 것 같아  
슬픔,자기혐오,내가 제일 싫은 사람은 나야  
슬픔,자기혐오,오늘도 괜히 나 자신이 밉다  
슬픔,자기혐오,다른 사람한테는 괜찮은데 내겐 너무 가혹해  
슬픔,자기혐오,내가 왜 이렇게 못났는지 모르겠어  
슬픔,자기혐오,사람들이 날 싫어하는 이유를 알 것 같아  
슬픔,자기혐오,그냥 내가 싫다 이 말밖엔 안 나와  
슬픔,자기혐오,다시 생각해도 내가 너무 바보 같아  
슬픔,자기혐오,내가 말한 게 후회되고 또 미워져  
슬픔,자기혐오,내가 나를 이해 못 하겠어  
슬픔,자기혐오,실패할 때마다 내가 싫어져  
슬픔,자기혐오,이런 나로 사는 게 지겨워  
슬픔,자기혐오,다른 사람 흉보는 게 아니라 나부터 싫어  
슬픔,자기혐오,나는 왜 항상 같은 실수를 반복할까  
슬픔,자기혐오,내가 한 말이 계속 머릿속에서 맴돌아  
슬픔,자기혐오,나 같은 사람은 행복할 자격이 없는 것 같아  
슬픔,자기혐오,사람들이 날 보면 나처럼 되기 싫다고 할 것 같아  
슬픔,자기혐오,내가 한 일은 항상 어설퍼  
슬픔,자기혐오,스스로가 너무 초라하게 느껴져  
슬픔,자기혐오,그냥 나 자신이 싫어 죽겠어  
슬픔,자기혐오,왜 나는 항상 이 모양일까  
슬픔,자기혐오,내가 나를 믿을 수가 없어  
슬픔,자기혐오,사람들 앞에서 괜찮은 척하는 내가 더 싫어  
슬픔,자기혐오,내가 말하는 모든 게 다 틀린 것 같아  
슬픔,자기혐오,그냥 나를 지워버리고 싶어  
슬픔,자기혐오,내가 누군가한테 상처 줬다는 생각이 날 미치게 해  
슬픔,자기혐오,그때 한 말이 계속 머릿속에 맴돌아서 괴로워  
슬픔,자기혐오,나는 왜 이렇게 무능할까  
슬픔,자기혐오,사람들이 다 나보다 나은 것 같아  
슬픔,자기혐오,내가 만든 실수를 아직도 용서 못 하겠어  
슬픔,자기혐오,내가 한 결정은 항상 잘못이야  
슬픔,자기혐오,내가 사라지면 다들 더 행복할 것 같아  
슬픔,자기혐오,다른 사람은 나보다 훨씬 나아 보여  
슬픔,자기혐오,내가 왜 태어났는지 모르겠어  
슬픔,자기혐오,내가 나를 포기하고 싶을 때가 많아  
슬픔,자기혐오,스스로를 미워하는 게 버릇이 된 것 같아  
슬픔,자기혐오,나는 항상 틀리고 엉망이야  
슬픔,자기혐오,내가 한 행동이 계속 부끄러워  
슬픔,자기혐오,나 같은 사람은 없어져도 될 것 같아  
슬픔,자기혐오,다른 사람처럼 살 수 없다는 게 너무 싫어  
슬픔,자기혐오,항상 내 탓으로 결론이 나  
슬픔,자기혐오,나 자신이 너무 불쌍하고 한심해  
슬픔,자기혐오,다른 사람은 나보다 훨씬 강한데 나는 약해  
슬픔,자기혐오,내가 왜 이렇게 부족한지 모르겠어  
슬픔,자기혐오,그냥 내가 싫어 이게 끝이야  
슬픔,자기혐오,내가 날 봐도 답답해  
슬픔,자기혐오,나 자신한테 실망했어  
슬픔,자기혐오,내가 이렇게 될 줄 몰랐어  
슬픔,자기혐오,모든 게 내 잘못이라는 생각이 떠나질 않아  
슬픔,자기혐오,그때 그 말 한마디가 아직도 후회돼  
슬픔,자기혐오,내가 더 나은 사람이었으면 좋았을 텐데  
슬픔,자기혐오,나보다 부족한 사람을 본 적이 없어  
슬픔,자기혐오,내가 내 인생을 망치고 있는 느낌이야  
슬픔,자기혐오,다른 사람은 다 괜찮은데 나만 아니야  
슬픔,자기혐오,내가 왜 이렇게 나약한지 이해가 안 돼  
슬픔,자기혐오,아무리 해도 만족스럽지가 않아  
슬픔,자기혐오,내가 너무 쓸모없게 느껴져  
슬픔,자기혐오,나 자신한테 질렸어  
슬픔,자기혐오,나는 늘 후회만 하는 사람인 것 같아  
슬픔,자기혐오,사람들이 날 보면 한심하다고 생각할 것 같아  
슬픔,자기혐오,나는 왜 항상 부족한 쪽이 될까  
슬픔,자기혐오,내가 싫어서 사람들을 피하게 돼  
슬픔,자기혐오,그냥 사라지고 싶은 마음뿐이야  
슬픔,자기혐오,내가 한 모든 말이 다 후회돼  
슬픔,자기혐오,다른 사람보다 못난 내가 싫어  
슬픔,자기혐오,내가 날 용서할 수가 없어  
슬픔,자기혐오,요즘은 내 목소리조차 듣기 싫어  
슬픔,자기혐오,내가 나를 망치고 있는 게 보여  
슬픔,자기혐오,사람들한테 좋은 말 못 하는 내가 싫어  
슬픔,자기혐오,항상 나만 문제를 일으키는 것 같아  
슬픔,자기혐오,그냥 내 존재 자체가 싫어  
슬픔,자기혐오,나만 없어지면 다 괜찮을 것 같아  
슬픔,자기혐오,내가 얼마나 부족한 사람인지 너무 잘 알아  
슬픔,자기혐오,나 자신이 믿기지 않아  
슬픔,자기혐오,다른 사람한테 미안한 일만 하는 것 같아  
슬픔,자기혐오,나는 항상 기대를 저버리는 사람 같아  
슬픔,자기혐오,그냥 나 자신이 지겨워  
슬픔,자기혐오,사람들 앞에 서면 내가 더 초라해  
슬픔,자기혐오,내가 나를 싫어하니까 아무것도 하기 싫어  
슬픔,자기혐오,다른 사람보다 못한 게 너무 많아  
슬픔,자기혐오,스스로가 너무 미워서 견디기 힘들어  
슬픔,자기혐오,내가 행복할 자격이 없는 것 같아  
슬픔,자기혐오,그냥 날 지우고 싶을 때가 많아  
슬픔,자기혐오,나 자신을 보면 자꾸 한숨만 나와  
슬픔,자기혐오,내가 아무것도 아닌 것 같아  
슬픔,자기혐오,사람들보다 뒤처진 내가 한심해  
슬픔,자기혐오,그냥 나라는 존재가 싫다  
슬픔,자기혐오,이런 나로는 아무것도 못 할 것 같아  
슬픔,자기혐오,내가 누군가한테 짐이 되는 게 싫어  
슬픔,자기혐오,스스로가 너무 못나서 눈물이 나  
슬픔,자기혐오,다른 사람은 웃는데 나만 초라해 보여  
슬픔,자기혐오,내가 나를 이해할 수가 없어  
슬픔,자기혐오,나는 늘 실망만 주는 사람 같아  
슬픔,자기혐오,그냥 내가 싫어서 도망치고 싶어  
슬픔,자기혐오,다른 사람은 다 잘하는데 왜 나만 이럴까  
슬픔,자기혐오,나 자신이 너무 약해서 미워  
슬픔,자기혐오,나는 나를 구할 수 없는 사람 같아  

슬픔,무의미감,요즘은 아무 이유 없이 살아가는 기분이야  
슬픔,무의미감,하루가 그냥 흘러가는 걸 보고만 있어  
슬픔,무의미감,무엇을 해도 의미를 찾을 수가 없어  
슬픔,무의미감,일어나도 해야 할 이유가 없다고 느껴져  
슬픔,무의미감,그냥 반복되는 하루가 지겨워  
슬픔,무의미감,내가 뭘 위해 살고 있는지 모르겠어  
슬픔,무의미감,이 모든 게 무슨 소용이 있나 싶어  
슬픔,무의미감,요즘은 목표 같은 게 없어  
슬픔,무의미감,일을 해도 아무 성취감이 없어  
슬픔,무의미감,웃어도 진짜 웃음이 아니야  
슬픔,무의미감,시간이 흘러도 아무 감정이 없어  
슬픔,무의미감,그냥 존재하고 있다는 느낌만 있어  
슬픔,무의미감,모든 게 다 부질없게 느껴져  
슬픔,무의미감,내가 뭘 해도 결과가 다 똑같아  
슬픔,무의미감,어제랑 오늘이랑 차이를 모르겠어  
슬픔,무의미감,하루를 보내는 게 그냥 습관이 돼버렸어  
슬픔,무의미감,열심히 해도 결국 아무 일도 변하지 않아  
슬픔,무의미감,다른 사람들은 다들 목적이 있는 것 같아  
슬픔,무의미감,내가 하는 일이 전혀 의미 없어 보여  
슬픔,무의미감,요즘은 기쁨도 슬픔도 잘 안 느껴져  
슬픔,무의미감,그냥 살고 있다는 사실만 남았어  
슬픔,무의미감,하루가 왜 이렇게 길게 느껴지는지 모르겠어  
슬픔,무의미감,모든 게 다 귀찮고 의미 없어  
슬픔,무의미감,내가 존재하는 이유를 모르겠어  
슬픔,무의미감,이렇게 살아서 뭐하나 싶어  
슬픔,무의미감,아무 일도 하고 싶지 않아  
슬픔,무의미감,그냥 멍하게 시간을 보내고 있어  
슬픔,무의미감,누가 날 필요로 하지도 않아  
슬픔,무의미감,사는 게 의무처럼 느껴져  
슬픔,무의미감,내가 뭘 좋아했는지도 기억이 안 나  
슬픔,무의미감,아무리 노력해도 공허함이 사라지지 않아  
슬픔,무의미감,오늘 하루도 그냥 버텼다는 느낌뿐이야  
슬픔,무의미감,다시 내일이 와도 달라질 게 없을 것 같아  
슬픔,무의미감,내가 하는 말도 다 의미 없어 보여  
슬픔,무의미감,그냥 숨 쉬는 게 전부야  
슬픔,무의미감,사람들과 이야기해도 아무 감정이 안 들어  
슬픔,무의미감,요즘은 감정이 다 무뎌졌어  
슬픔,무의미감,그냥 하루를 넘기는 게 목표가 됐어  
슬픔,무의미감,꿈이 뭔지도 모르겠어  
슬픔,무의미감,그냥 살기 위해 살고 있어  
슬픔,무의미감,무엇을 해도 공허함이 남아  
슬픔,무의미감,내가 왜 이렇게 사는지 모르겠어  
슬픔,무의미감,사람들과의 대화도 다 의미 없게 느껴져  
슬픔,무의미감,모든 게 무색무취야  
슬픔,무의미감,하루가 흘러도 아무 감흥이 없어  
슬픔,무의미감,그냥 습관적으로 살아가는 중이야  
슬픔,무의미감,이 세상에 내 자리가 있는지도 모르겠어  
슬픔,무의미감,매일이 복사된 것처럼 똑같아  
슬픔,무의미감,뭘 해도 만족스럽지가 않아  
슬픔,무의미감,그냥 존재만 하고 있다는 느낌이야  
슬픔,무의미감,내가 지금 뭘 하고 있는지도 모르겠어  
슬픔,무의미감,사람들한테 섞이려 해도 마음이 안 따라가  
슬픔,무의미감,그냥 조용히 사라지고 싶을 때가 많아  
슬픔,무의미감,요즘은 웃는 게 낯설어  
슬픔,무의미감,내가 왜 이런 감정을 느끼는지도 모르겠어  
슬픔,무의미감,그냥 공허함만 남아 있는 기분이야  
슬픔,무의미감,아무 감정도 들지 않는 게 더 무서워  
슬픔,무의미감,매일 아침 눈 뜨는 게 부담스러워  
슬픔,무의미감,사람들 사이에서도 의미를 못 느껴  
슬픔,무의미감,모든 게 다 멈춰 있는 것 같아  
슬픔,무의미감,그냥 무의식적으로 하루를 반복해  
슬픔,무의미감,살아있다는 게 실감이 안 나  
슬픔,무의미감,요즘은 아무 일에도 반응이 없어  
슬픔,무의미감,내가 왜 존재하는지 모르겠어  
슬픔,무의미감,어떤 일에도 의욕이 생기지 않아  
슬픔,무의미감,그냥 다 내려놓은 기분이야  
슬픔,무의미감,누가 나를 불러도 대답하기가 싫어  
슬픔,무의미감,모든 게 다 회색빛으로 보여  
슬픔,무의미감,그냥 하루가 끝나길 기다리고 있어  
슬픔,무의미감,내가 움직이는 이유조차 모르겠어  
슬픔,무의미감,요즘은 아무런 감정도 없어  
슬픔,무의미감,무엇을 해도 만족이 없어  
슬픔,무의미감,그냥 시간을 죽이고 있을 뿐이야  
슬픔,무의미감,사람들 얘기도 다 흘려듣게 돼  
슬픔,무의미감,매일 반복되는 하루가 지겨워  
슬픔,무의미감,그냥 숨 쉬는 것조차 힘들어  
슬픔,무의미감,내가 살아있다는 게 실감이 안 돼  
슬픔,무의미감,요즘은 모든 게 무가치하게 느껴져  
슬픔,무의미감,무슨 일을 해도 뿌듯하지 않아  
슬픔,무의미감,그냥 이 세상이 멈춘 것 같아  
슬픔,무의미감,아무것도 하지 않아도 피곤해  
슬픔,무의미감,하루가 왜 이렇게 길고 지루한지 모르겠어  
슬픔,무의미감,내가 사라져도 아무 일 없을 것 같아  
슬픔,무의미감,그냥 살아있는 시체 같은 기분이야  
슬픔,무의미감,요즘은 모든 게 의미 없이 흘러가  
슬픔,무의미감,사람들 얘기에 공감이 안 돼  
슬픔,무의미감,내가 느끼는 감정이 다 무뎌졌어  
슬픔,무의미감,하루가 지나도 아무 변화가 없어  
슬픔,무의미감,그냥 아무 감정 없이 시간을 버리고 있어  
슬픔,무의미감,살아가는 게 왜 이렇게 공허한지 모르겠어  
슬픔,무의미감,이 세상에서 나만 멈춰 있는 것 같아  
슬픔,무의미감,그냥 아무 생각 없이 하루를 넘겨  
슬픔,무의미감,사람들이 나를 봐도 아무 감정이 없어  
슬픔,무의미감,내가 뭘 느끼는지도 모르겠어  
슬픔,무의미감,요즘은 아무 일에도 기대가 안 돼  
슬픔,무의미감,그냥 하루를 버티는 게 전부야  
슬픔,무의미감,모든 게 무의미하게 반복될 뿐이야  

슬픔,소외,사람들 사이에 있어도 혼자인 기분이야  
슬픔,소외,대화에 끼고 싶은데 타이밍을 모르겠어  
슬픔,소외,모두가 나를 투명인간처럼 대하는 것 같아  
슬픔,소외,같이 있어도 외롭다는 게 이런 걸까  
슬픔,소외,내가 말을 해도 아무도 듣지 않아  
슬픔,소외,단체 대화방에서 내 말은 늘 묻혀  
